ACCTTYPE,SF,X,Y
Vacant Land,1440,-104.8337404,40.32064118
Residential,2160,-104.5616859,40.3860427
Residential,1218,-104.7466524,40.00102043
Residential,1200,-104.9415632,40.44507062
Residential,1619,-104.8450588,40.31949457
Residential,1800,-104.8452841,40.3194867
Residential,1582,-104.8467965,40.31964071
Vacant Land,1344,-104.848064,40.32043822
Residential,1216,-104.9073031,40.53322381
Residential,7252,-104.7586437,40.10367384
Residential,2157,-104.8209188,40.41210657
Residential,7252,-104.8205171,40.41217094
Residential,3135,-104.8207014,40.41214343
Residential,1654,-104.8211583,40.41209082
Residential,938,-104.5117998,40.11040884
Commercial,35154,-104.967737,40.15400728
Vacant Land,2055,-104.9535825,40.12978586
Residential,640,-104.9587065,40.18455406
Residential,3903,-104.9621743,40.18285343
Residential,5600,-104.9622654,40.18304165
Residential,2763,-104.9623369,40.18321456
Residential,5810,-104.9625868,40.18256604
Residential,24358,-104.9628905,40.18266389
Residential,1548,-104.9634009,40.18281843
Residential,360,-104.9634672,40.18301698
Residential,912,-104.9637399,40.18243016
Residential,288,-104.9633627,40.18262919
Residential,670,-104.9640444,40.1824869
Residential,792,-104.9640691,40.18373027
Residential,1080,-104.9640341,40.18390454
Residential,468,-104.9640036,40.18405798
Residential,1482,-104.9639687,40.18423225
Residential,1444,-104.9641391,40.18306018
Residential,1728,-104.9635353,40.18428728
Residential,6200,-104.9637184,40.18338269
Residential,720,-104.9636668,40.18377421
Residential,384,-104.9636121,40.18393516
Residential,1512,-104.9635847,40.18409803
Residential,1416,-104.9628472,40.18448636
Residential,3360,-104.963956,40.18442092
Residential,1272,-104.9639732,40.18460211
Residential,1748,-104.961555,40.18530444
Residential,1638,-104.9622238,40.1850673
Residential,1776,-104.9617919,40.18521213
Residential,1953,-104.9639638,40.18506013
Residential,960,-104.9628754,40.18469238
Residential,1272,-104.9642203,40.18499079
Residential,1638,-104.9621049,40.18730264
Residential,1638,-104.9622308,40.18740331
Residential,1953,-104.9623609,40.18749354
